Race,District,Winner,Dem?,Rep?,Other?,Dem Votes,Rep Votes,Other Votes,year,chamber,district_id,is_contested
State Senate 2012,District 25,Democratic,Yes,Yes,No,44560,39506,,2012,sldu,25,Yes
State Senate 2012,District 26,Republican,Yes,Yes,No,37092,58276,,2012,sldu,26,Yes
State Senate 2012,District 27,Republican,Yes,Yes,No,41870,56865,,2012,sldu,27,Yes
State Senate 2012,District 28,Democratic,Yes,No,No,80689,,,2012,sldu,28,No
State Senate 2012,District 29,Republican,No,Yes,No,,65000,,2012,sldu,29,No
State Senate 2012,District 30,Republican,Yes,Yes,No,27416,49417,,2012,sldu,30,Yes
State Senate 2012,District 31,Republican,Yes,Yes,No,32298,71806,,2012,sldu,31,Yes
State Senate 2012,District 32,Democratic,Yes,Yes,No,57803,21387,,2012,sldu,32,Yes
State Senate 2012,District 35,Republican,No,Yes,No,,61664,,2012,sldu,35,No
State Senate 2012,District 34,Republican,No,Yes,No,,62728,,2012,sldu,34,No
State Senate 2012,District 35,Republican,No,Yes,No,,62213,,2012,sldu,35,No
State Senate 2012,District 36,Republican,No,Yes,No,,60957,,2012,sldu,36,No
